"TYPE","ANGLE","REACHABLE","PWEIGHT","AWEIGHT","DISTANCE","WEAKNESS","SCORE"
"Wood","0.741738459238275","0","0.182","0.156","0.360138862107382","0.8","10090"
"Stone","0.724439203734297","1","0.078","0.078","0.500399840127872","0.2","9240"
"Wood","0.278475782597882","0","0.318","0.0","0.178044938147649","0.8","9270"
"Wood","0.36487467903655","1","0.078","0.0","0.630713881248859","0.8","1800"
"Wood","0.736251622008011","0","0.371","0.371","0.18","0.8","9880"
"Wood","0.741738459238275","1","0.318","0.0","0.15556349186104","0.8","9310"
"Pig","0.736251622008011","1","1.0","0.078","0.01","1.0","9470"
"Wood","0.738995576137428","0","0.072","0.078","0.100498756211209","0.8","9400"
"Wood","0.717024508645633","1","0.072","0.078","0.100498756211209","0.8","9400"
"Wood","0.726096761146726","0","0.318","0.0","0.178044938147649","0.8","9050"
"Wood","0.246597841695721","0","0.015","0.0","2.21208046869909","0.8","9250"
"Wood","0.732674926176313","1","0.015","0.0","2.21208046869909","0.8","9250"
"Wood","0.732674926176313","0","0.312","0.0","0.514295634824952","0.8","8170"
"Wood","0.120765563852758","0","0.312","0.0","0.514295634824952","0.8","8170"
"Wood","0.721692987406259","1","0.078","0.0","0.630317380372777","0.8","1370"
"Wood","0.27965076655522","0","0.318","0.0","0.184390889145858","0.8","9410"
"Wood","0.143101822167796","1","0.318","0.0","0.523259018078045","0.8","9030"
"Wood","0.162080544379623","0","0.217","0.078","1.4883883901724","0.8","8830"
"Ice","0.135092552062072","0","0.07","0.0","0.0","0.8","1270"
"Wood","0.143101822167796","1","0.318","0.0","0.523259018078045","0.8","23070"
"Wood","0.271477000362645","1","0.318","0.0","0.15556349186104","0.8","9910"
"Wood","0.741738459238275","1","0.318","0.0","0.15556349186104","0.8","7480"
"Wood","0.704924278693339","0","0.318","0.0","0.15556349186104","0.8","7480"
"Wood","0.143101822167796","1","0.318","0.0","0.523259018078045","0.8","21230"
"Wood","0.246597841695721","0","0.015","0.0","2.21208046869909","0.8","9250"
"Ice","0.158498632182763","0","0.13","0.0","0.529528091794949","0.8","12010"
"Wood","0.36487467903655","1","0.078","0.0","0.630713881248859","0.8","1800"
"Wood","0.36678796603529","1","0.078","0.0","0.630317380372777","0.8","1240"
"Pig","0.735418771993027","0","0.81","0.156","0.0","1.0","8430"
"Pig","0.0757742708920782","1","0.81","0.156","0.0","1.0","8430"
"Stone","0.725267605069367","1","0.078","0.078","0.500399840127872","0.2","9750"
"Stone","0.742573990572899","1","0.078","0.078","0.500399840127872","0.2","9750"
